OID_,ID,Navn,Veg,Strekning_Delstrekning,Meter,Lengdegrad,Breddegrad
1,10254V625614,Rv 191 Alfasetveien,RV191,S1D10,m61,59.936067000000001,10.857580000000000
2,81302V1874702,ØKERN V/ALCATEL,RV163,S1D1,m1596,59.927976999999998,10.814240000000000
3,39940V625245,Avrampe til Sandstuveien,EV6,S16D1,m545,59.887920000000001,10.807550000000001
4,71728V443308,Lysakerlokket rampe,EV18,S54D1,m837,59.911799999999999,10.633233000000001
5,89007V625589,Helsfyr rampe mot sentrum,EV6,S16D20,m2423,59.911856999999998,10.796445000000000
6,61394V604898,Nedre Kaldbakkvei,KV14994,S1D1,m736,59.945301000000001,10.862771000000000
7,84967V625637,Ø.Akersvei rampe mot Haugenstua,EV6,S17D1,m7287,59.948869000000002,10.946845000000000
8,14065V625367,TR.HEIMSVN V/AKERSY,RV4,S1D1,m1403,59.940790999999997,10.797642000000000
9,61416V625236,E6 Skullerud Av/Pårampe Nordgående,EV6,S15D1,m5382,59.862445000000001,10.831039000000001
10,09259V625604,E6 Lodalen Rampe Sentrum Lodalen,EV6,S16D20,m4080,59.902901999999997,10.782982000000001
11,78505V2312159,Lørentunell rampe fra Rv163,RV163,S1D1,m1332,59.930771000000000,10.802358999999999
12,20937V625367,Rv 4 Bjerke Nordgående ,RV4,S1D1,m2089,59.942608000000000,10.809352000000001
13,73388V3243445,FILIPSTAD ØSTGÅENDE,EV18,S55D1,m4968,59.909941000000003,10.717487999999999
14,24764V625406,SMESTAD BRANNSTASJON,RV150,S2D1,m4757,59.933684999999997,10.673026000000000
15,42512V625215,E6 Jerikoveien,EV6,S17D1,m3210,59.936293999999997,10.886134000000000
16,42546V625326,FILIPSTAD VESTGÅENDE RAMPE,EV18,S55D1,m4888,59.910218999999998,10.717449999999999
17,72035V2312244,Rv 163 Økerntunnelen,RV163,S1D1,m445,59.929281000000003,10.803454000000000
18,16592V625580,WERGELANDSV V/SLOTT,KV168,S1D1,m435,59.919224000000000,10.730468999999999
19,04477V625649,E6 Alnabru Sydgående Furuset Helsfyr,EV6,S16D20,m319,59.923406000000000,10.830461000000000
20,93802V625502,KIRKEVN V/VIGELANDSP,KV161,S4D1,m4455,59.925697999999997,10.710138000000001
21,41275V625443,Gaustad rampe fra Ullevål,RV150,S2D1,m1558,59.946207000000001,10.713134999999999
22,25348V625498,Vækerøveien v/Ullernchaussen ,KV160,S1D1,m1352,59.925896999999999,10.641031999999999
23,20396V625498,RV 160 VÆKERØVEIEN,KV160,S1D1,m1334,59.925787000000000,10.641260000000001
24,98274V604495,KARIHAUGVEIEN,KV13622,S3D1,m113,59.936379000000002,10.931540999999999
25,16477V625646,Karihaugen rampe mot Skårer,RV159,S1D1,m289,59.939205000000001,10.926731000000000
26,72406V625599,E6 Lodalen Rampe Helsfyr Lodalen,EV6,S16D20,m4080,59.903089000000001,10.782418000000000
27,07144V625582,Sørkedalsveien,KV168,S1D1,m2984,59.934471000000002,10.697955000000000
28,40144V625646,RV 159,RV159,S1D1,m706,59.937449000000001,10.933274000000001
29,62876V625515,Schweigårds gt,RV162,S1D1,m2286,59.911529999999999,10.757705000000000
30,39750V625530,ØSTRE AKERV V/VEITV,RV163,S1D1,m4413,59.940506999999997,10.856104999999999
31,68441V625561,Av- og pårampe Haugenstua,RV163,S1D1,m8597,59.951723999999999,10.921578000000000
32,42207V625612,TVETENVEIEN 2002,RV191,S1D1,m358,59.931005999999996,10.862473000000000
33,99999V625498,BAERUMSVN V/BYGRENS,KV160,S1D1,m2372,59.926723000000003,10.625762000000000
34,00363V1891689,Øster Tangent,RV162,S1D1,m1,59.899285999999996,10.755806000000000
35,93325V625214,Pårampe Alnabru - teisen,EV6,S16D1,m9025,59.920915999999998,10.807831000000000
36,73125V3145673,E6 Teisen pårampe fra Bryn,EV6,S16D1,m4275,59.915089000000002,10.814465000000000
37,99999V444329,STRANDVEIEN,FV1633,S1D10,m23,59.912937999999997,10.641011000000001
38,66549V625612,Rv 191 Furuset,RV191,S1D1,m424,59.931427999999997,10.861644000000000
39,43746V625550,Grorud rampe mot Økern,RV163,S1D1,m6502,59.950656000000002,10.885272000000001
40,79854V625215,E6 V/KARIHAUGEN,EV6,S17D1,m5998,59.940022999999997,10.933963000000000
41,87424V625212,E6 Sandstuveien Sydgående,EV6,S16D1,m420,59.887855000000002,10.807435000000000
42,12723V3243442,FILIPSTAD VESTGÅENDE,EV18,S55D1,m11310,59.910086999999997,10.717578000000000
43,27193V2516106,Pårampe fra Sandstuveien,EV6,S16D1,m545,59.888731000000000,10.807013000000000
44,89041V625265,E6 Ulvensplitten Rampe Økern Alnabru,EV6,S16D1,m5438,59.922798999999998,10.809022000000001
45,22791V625367,Bjerke,RV4,S1D1,m2274,59.943089000000001,10.812519999999999
46,34086V625502,CHR.MICHELSENSGATE,KV161,S4D1,m299,59.928094999999999,10.771758000000000
47,94543V2783687,Tåsentunellen Vestgående Løp,RV150,S1D1,m7520,59.951217000000000,10.740560000000000
48,90697V625213,E6 Alnabru Nordgående Ulven Furuset,EV6,S16D1,m6547,59.922795000000001,10.828958000000000
49,99353V625530,"Ø.Akersvei 1,2",RV163,S1D1,m10230,59.948419000000001,10.947037999999999
50,91158V625541,Rv 163 Brobekk Nordgående Pårampe,RV163,S1D1,m2479,59.932713999999997,10.828070000000000
51,82177V625405,"Gaustad 1,2,3,4,5",RV150,S2D1,m1524,59.946013000000001,10.713018999999999
52,54296V625503,H.SVARTESGT.V/O.BIRT,KV161,S4D1,m5569,59.920883000000003,10.694731000000001
53,21258V625502,FINNM.GT.V/SOFIENB.G,KV161,S1D1,m1585,59.921075000000002,10.775142000000001
54,64300V625502,Ullevål,KV161,S4D1,m2403,59.935670000000002,10.738455999999999
55,03375V625405,Rv 150 Ulvensplitten,RV150,S1D1,m326,59.922586000000003,10.807645000000001
56,20927V625367,Rv 4 Bjerke Sydgående ,RV4,S1D1,m2088,59.942605999999998,10.809335000000001
57,56971V625377,PÅKJ. TIL RV 4,RV4,S1D1,m2095,59.942954999999998,10.812438000000000
58,71608V603756,Bygdøy alle ,KV10967,S1D1,m1314,59.919244999999997,10.696369000000001
59,89040V2545188,"Kongshavn 1,2",EV18,S56D1,m488,59.895687000000002,10.756999000000000
60,11779V625292,E18-MOSSEV V/BYGRENS,EV18,S56D1,m7693,59.836537999999997,10.778743000000000
61,87161V2659404,Granfosstunnelen mot Lysaker,RV150,S3D1,m551,59.913867000000003,10.628970000000001
62,47635V625643,Rampe til Storo,RV150,S1D1,m3807,59.941377000000003,10.781504000000000
63,11462V625377,Rv 4 Bjerke Nordgående Pårampe,RV4,S1D1,m2095,59.942537999999999,10.810458000000001
64,66888V625327,VESTBANEKRYSSET,EV18,S55D1,m5343,59.911738000000000,10.727053000000000
65,11694V625213,MANGLERUD E6,EV6,S16D1,m2203,59.900537000000000,10.817226000000000
66,83502V625530,Rv 163 Haugenstua Vestgående,RV163,S1D1,m8683,59.952342999999999,10.921478000000000
67,73166V2312244,Økerntunellen mot Grorud Datter,RV163,S1D1,m452,59.929288000000000,10.803578000000000
68,51938V443842,LYSAKER (LILLEAKER),FV1633,S1D1,m736,59.913752000000002,10.639870999999999
69,38023V625278,E6 Furuset Nord Avrampe,EV6,S17D1,m3444,59.935651000000000,10.884340999999999
70,30017V625457,Avrampe mot Ullern,RV150,S2D1,m5685,59.928131999999998,10.656931000000000
71,20690V625530,Rv 163 Brobekk Sydgående,RV163,S1D1,m2552,59.932864000000002,10.828167000000001
72,12707V625214,E6 Alnabru Sydgående Furuset Ulven,EV6,S16D1,m7239,59.923599000000003,10.830182000000001
73,77367V625580,MAJORSTUEN,KV168,S1D1,m1939,59.929248999999999,10.714290999999999
74,05185V2783689,Tåsentunellen Østgående Løp,RV150,S1D1,m7862,59.951082000000000,10.740503000000000
75,04720V625497,SØRVANGEN,KV160,S1D1,m50,59.916966000000002,10.655200000000001
76,74031V1857387,LYSAKERLOKKET RAMPE,EV18,S54D1,m837,59.911971000000001,10.632959000000000
77,26182V625276,E6 Pårampe fra Lindeberg,EV6,S17D1,m1803,59.929392000000000,10.865232000000001
78,00222V444290,LYSAKERELVA,FV168,S1D1,m12,59.952674999999999,10.633800000000001
79,22325V625540,Rv 163 Brobekk Sydgående Pårampe,RV163,S1D1,m2479,59.933058000000003,10.826961000000001
80,39870V2312216,LØREN,RV150,S1D1,m1697,59.933529000000000,10.799217000000001
81,79676V625225,Avrampe Klemtsrudkrysset Sørgående,EV6,S15D1,m2561,59.840029999999999,10.839176000000000
82,57234V2491268,Kongshavn rampe sydgående,EV18,S56D1,m622,59.895639000000003,10.756876999999999
83,44756V1863949,Bjørvikatunell Østgående,EV18,S55D1,m7304,59.905510000000000,10.753130000000001
84,71879V625369,MAILUNDVEIEN,KV4,S2D1,m498,59.930809000000004,10.770963999999999
85,06809V625280,E6 Furuset Sydgående Pårampe,EV6,S17D1,m3444,59.937635000000000,10.889291999999999
86,33456V625213,E6 Bryn,EV6,S16D1,m3754,59.909460000000003,10.819031000000001
87,52688V625649,E6 Lodalen Helsfyr mot Sentrum,EV6,HP,51,59.902979000000002,10.782776000000000
88,99000V625405,Smestad Tunnell,RV150,S2D1,m3156,59.939456000000000,10.689073000000000
89,91761V625485,Ljabrudiagonalen,KV155,S1D1,m8153,59.840297000000000,10.786571000000000
90,88187V625613,Nedre Kaldbakkvei V/ Østre Akersvei,RV191,S1D1,m1389,59.940581000000002,10.858267000000000
91,80890V625375,Rv 4 Bjerke Nordgående Avrampe,RV4,S1D1,m2095,59.942320000000002,10.808963000000000
92,86203V625294,E18-DRAMMENSV V/MARI,EV18,S55D1,m1064,59.916961000000001,10.658258000000000
93,40889V625215,E6 Furuset Nordgående Hovedfelt,EV6,S17D1,m3089,59.935805999999999,10.884199000000001
94,84797V625405,STORE RINGVEI,RV150,S2D1,m1779,59.946553000000002,10.708643000000000
95,20680V625530,Rv 163 Brobekk Nordgående,RV163,S1D1,m2551,59.932856999999998,10.828154000000000
96,90021V625363,NYLANDSVEIEN,KV4,S1D1,m363,59.914296000000000,10.759736000000000
97,14598V625562,Pårampe mot Grorud,RV163,S1D1,m8597,59.953294000000000,10.920957000000000
98,45557V625215,E6 Furuset Sydgående Hovedfelt,EV6,S17D1,m3437,59.937220000000003,10.889756000000000
99,31290V625405,Hovedkjørefelt Rv150 Grefsen,RV150,S1D1,m4269,59.941347000000000,10.781359999999999
100,26619V625212,Klemetsrudkrysset Hovedkjørefelt,EV6,S15D1,m2565,59.839091000000003,10.839833000000000
101,13658V2659403,Granfosstunnelen Mot Oslo,RV150,S3D1,m1781,59.913961999999998,10.629457000000000
102,78495V625503,DRAMENS VEIEN/2002,KV161,S4D1,m5874,59.920668999999997,10.690310999999999
103,96494V625501,ÅKEBERGVN. V/JORDAL,KV161,S1D1,m106,59.907997000000002,10.778862000000000
104,87734V2312218,Lørentunell Østgående,RV150,S1D1,m3417,59.930762999999999,10.801885000000000
105,34157V2312145,Økerntunellen mot Sentrum Datter,RV163,S1D1,m786,59.929388000000003,10.803623000000000
106,66346V625214,E6 Ulvensplitten Rampe Alnabru Teisen,EV6,S16D1,m8422,59.922924999999999,10.809402000000000
107,79755V625294,MARITIM-510B,EV18,S55D1,m1561,59.918562000000001,10.666506999999999
108,13999V625502,Finnmarksgata,KV161,S1D1,m1083,59.916631000000002,10.776115000000001
109,49110V625582,MAKRELLBEKKEN,KV168,S1D1,m4947,59.942076999999998,10.668365000000000
110,62363V625649,EKEBERGTUNELLEN SØRGÅENDE,EV6,S16D20,m4839,59.899664999999999,10.771227000000000
111,89094V3154514,Svartdalstunellen mot Ryen,EV6,S16D10,m3666,59.899245000000001,10.802248000000001
112,52487V625530,Ø.A.vei/Kalbakken,RV163,S1D1,m5658,59.945951000000001,10.874973000000001
113,47408V625213,E6 Teisen,EV6,S16D1,m4434,59.915056999999997,10.814306000000000
114,33431V625542,Rv 163 Brobekk Sydgående Avrampe,RV163,S1D1,m2479,59.932926999999999,10.828059000000000
115,60739V625530,"Grorud Stasjon 1,2,3,4",RV163,S1D1,m6463,59.950602000000003,10.885770000000001
116,15194V625649,TEISEN 2002,EV6,S16D20,m1216,59.919002999999996,10.817126000000000
117,23392V625266,E6 Ulvensplitten Rampe Alnabru Økern,EV6,S16D1,m5438,59.923026999999998,10.809383000000000
118,40977V625551,Grorud Rampe mot Haugenstua,RV163,S1D1,m6502,59.950567999999997,10.885944000000000
119,91996V625485,LIABRUDIAGONALEN,KV155,S1D1,m8164,59.840288000000001,10.786377000000000
120,60265V625278,Avkjøring til Jerikoveien,EV6,S17D1,m3444,59.936064000000002,10.886314000000000
121,17684V2460285,Dr. Eufemias Gt. Vestgående Datter,EV18,S55D10,m1625,59.908734000000003,10.754618000000001
122,86426V625506,BISPEGATA,KV10641,S1D10,m51,59.906049000000003,10.764168000000000
123,83468V625530,Haugenstua østgående,RV163,S1D1,m8680,59.952342999999999,10.921426000000000
124,68282V625239,E6 Skullerud  Avrampe Sydgående,EV6,S15D1,m5382,59.863114000000003,10.829990000000000
125,52231V625294,E18-FROGNERSTR V/SK,EV18,S55D1,m3683,59.914825000000000,10.698446000000001
126,48379V625405,ST.RINGV V/NYDALSBR,RV150,S1D1,m5940,59.953373999999997,10.767581000000000
127,68539V625646,Karihaugen rampe mot Furuset,RV159,S1D1,m1206,59.939971999999997,10.925960999999999
128,61469V605671,Tvetenveien v/Haugerud,KV17852,S8D1,m565,59.922561999999999,10.855700000000001
129,04525V625637,Ø.Akersvei rampe mot Hvam,EV6,S17D1,m7287,59.948419000000001,10.946888000000000
130,76435V625530,Hagenstua,RV163,S1D1,m7994,59.953525999999997,10.909405000000000
131,66410V625367,AMMERUD,RV4,S1D1,m6786,59.959308999999998,10.879109000000000
132,51029V625643,Rampe til Sinsen,RV150,S1D1,m3807,59.941341000000001,10.781196000000000
133,79689V625350,VÆKERØ RØDLYS,EV18,S55D1,m619,59.915582000000001,10.652010000000001
134,91334V625635,Avrampe til Sandstuveien,EV6,S16D1,m545,59.888159999999999,10.806105000000001
135,96819V625530,ØSTRE AKER V/BYGREN,RV163,S1D1,m9983,59.949350000000003,10.943090000000000
136,37773V625378,AVKJ. FRA RV 4,RV4,S1D1,m2095,59.943086999999998,10.811686000000000
137,36561V625212,MORTENSRUD,EV6,S15D1,m3524,59.847512000000002,10.836650000000001
138,86457V625506,E18-BISPEGT V/SØRENG,KV10641,S1D10,m51,59.906050000000000,10.764163999999999
139,73840V2041694,Østre Tangent,RV162,S1D1,m2019,59.910063999999998,10.760802000000000
140,53159V604887,MØLLERGATA,KV14943,S2D1,m413,59.916182999999997,10.749117999999999
141,13447V625213,E6 Manglerud,EV6,S16D1,m2289,59.901192000000002,10.818018000000000
142,94345V625367,Rv4 Rommen,RV4,S1D1,m9434,59.971415999999998,10.916119000000000
143,14231V2545190,Kongshavn rampe Nordgående,EV18,S56D1,m622,59.895707000000002,10.757175999999999
144,51716V625406,RV 150 ULLERN,RV150,S2D1,m5861,59.928224000000000,10.656882000000000
145,63292V625213,Avrampe Teisen - Alnabru,EV6,S16D1,m5210,59.920959000000003,10.808241000000001
146,49763V2367192,Nedre Kalbakkvei ved gravlund,RV191,S1D1,m726,59.934120999999998,10.859619000000000
147,06154V625229,Pårampe Klemetsrudkrysset Nordgående,EV6,S15D1,m2561,59.839249000000002,10.840628000000001
148,33808V625649,"Helsfyr 1,2,3,4",EV6,S16D20,m2636,59.911740999999999,10.796522000000000
149,94985V604900,N.PRINSDALSV V/BYGRE,KV15000,S3D1,m2164,59.826045999999998,10.809277000000000
150,60338V625649,EKEBERGTUNNELEN,EV6,S16D20,m4660,59.900207000000002,10.774236000000000
151,81446V625466,Granfoss rampe øst 1,RV150,S2D1,m7624,59.919288000000002,10.633984000000000
152,78160V625367,RV4/NORGE BRANNSKOLEN,RV4,S1D1,m7812,59.960942000000003,10.896466000000000
153,62500V2791531,Granfoss rampe vest 1,RV150,S2D1,m7624,59.919676000000003,10.631368000000000
154,67570V625213,E6 Ulvensplitten Rampe Teisen Alnabru,EV6,S16D1,m5418,59.922708000000000,10.809037999999999
155,84851V605851,Østensjøveien v/Østensjø Skole,KV18639,S4D1,m849,59.899301999999999,10.829181000000000
156,43478V605436,STARVEIEN V/BYGRENS,KV16949,S2D1,m49,59.939529999999998,10.935767999999999
157,02924V625304,MOSSEV V/FISKEV rampe sørgående,EV18,S56D1,m7552,59.841650000000001,10.776776999999999
158,90310V625649,EKEBERGTUNNELEN NORDGÅENDE,EV6,S16D20,m6818,59.899473000000000,10.771393000000000
159,59192V1878201,Bjørvikatunell Vestgående,EV18,S55D1,m8974,59.905619999999999,10.753221999999999
160,18934V625464,Granfoss rampe øst 2,RV150,S2D1,m7624,59.919282000000003,10.634152000000000
161,19702V625216,Svartdalstunellen mot sentrum,EV6,S16D10,m499,59.899352000000000,10.802524000000000
162,33985V625485,LJABRUVEIEN,KV155,S1D1,m5458,59.843770999999997,10.819756999999999
163,55871V2545188,Mosseveien v/Karlsbørgveien,EV18,S56D1,m603,59.894787999999998,10.758008999999999
164,64557V625518,MUNKEDAMSVEIEN,RV162,S1D1,m4955,59.911417000000000,10.725749000000000
165,99524V625582,GRINIVN V/LYSAKERELV,KV168,S1D1,m7301,59.952620000000003,10.634338000000000
166,54588V625325,FILIPSTAD ØSTGÅENDE RAMPER,EV18,S55D1,m4888,59.909742999999999,10.717570000000000
167,48654V625292,FURUBRÅTVEIEN,EV18,S56D1,m4062,59.866864000000000,10.783177000000000
168,39486V625280,Påkjøring fra Jerikoveien,EV6,S17D1,m3444,59.936475999999999,10.886069000000001
169,36449V625237,Skullerud pårampe Sydgående,EV6,S15D1,m5382,59.862808999999999,10.830539000000000
170,10287V2312216,Lørentunellen Vestgående,RV150,S1D1,m1336,59.930774000000000,10.802218000000000
171,08916V625376,Rv 4 Bjerke Sydgående Pårampe,RV4,S1D1,m2095,59.942788000000000,10.808771000000000
172,37866V625564,Avrampe mot Haugenstua,RV163,S1D1,m8597,59.952424999999998,10.921488000000000
173,07752V625591,Helsfyr rampe mot Alnabru,EV6,S16D20,m2423,59.911676000000000,10.796609000000000
174,53913V604958,Nordstrandsveien,KV15185,S1D1,m1595,59.860410000000002,10.807302000000000
175,05120V625649,E6 Alnabru Nordgående Helsfyr Furuset,EV6,S16D20,m448,59.922953999999997,10.828350000000000
176,40197V625504,DRAMMENSV V/TENNISHA,KV161,S4D1,m6298,59.921982999999997,10.683444000000000
177,49767V625292,Mosseveien v/Furubråtveien,EV18,S56D1,m3952,59.867845000000003,10.783265999999999
178,04638V604083,GAMLE MOSSEVN V/BYG,KV12168,S1D1,m80,59.824376000000001,10.772143000000000
179,17839V604335,Holmenkollveien,KV13070,S1D1,m1245,59.948892000000001,10.676231000000000
180,47044V625502,Vøyen Bru,KV161,S4D1,m1199,59.932780000000001,10.758825999999999
181,43198V625500,GALGEBERG,KV14066,S2D1,m182,59.905445999999998,10.780746000000001
182,08491V625275,E6 pårampe sørgående fra Lindeberg,EV6,S17D1,m1803,59.929875000000003,10.863712000000000
183,80769V2460281,Dr. Eufemias Gt. Østgående Datter,EV18,S55D10,m686,59.908574000000002,10.754458000000000
184,23369V625215,E6 Lindeberg sørgående,EV6,S17D1,m1780,59.929482999999998,10.864814000000001
185,89787V605343,Slemdalsveien,KV16621,S1D1,m2971,59.949420000000003,10.699009000000000
186,18089V625292,"MOSSEV V/FISKEV 1,2,3,4",EV18,S56D1,m7072,59.841661000000002,10.776985000000000
187,66755V625539,Rv 163 Brobekk Nordgående Avrampe,RV163,S1D1,m2479,59.932099000000001,10.828141000000000
188,51368V625246,Pårampe fra Sandstuveien,EV6,S16D1,m545,59.887794999999997,10.807295000000000
189,12357V625212,Klemetsrud,EV6,S15D1,m1191,59.827069999999999,10.843871000000000
190,69037V625235,Skullerud Avrampe Nordgående,EV6,S15D1,m5382,59.862816000000002,10.830928000000000
191,81732V625378,Rv 4 Bjerke Sydgående Avrampe,RV4,S1D1,m2095,59.942929999999997,10.810090000000001
192,69869V625292,E18-MOSSEV V/BEKKELA,EV18,S56D1,m1972,59.884039000000001,10.769429000000001
193,01432V625405,RV 150 Teisen - Økern,RV150,S1D1,m136,59.920904000000000,10.808016000000000
194,23235V625215,E6 Lindeberg nordgående,EV6,S17D1,m1769,59.929406999999998,10.864685000000000
195,12962V625515,TØYENBEKKEN 2007,RV162,S1D50,m94,59.911200000000001,10.759795000000000
196,76587V3152664,Pårampe fra Montebello,RV150,S2D1,m5685,59.928274000000002,10.656781000000001
197,54688V625212,Skullerud Hovedkjørefelt,EV6,S15D1,m5271,59.862805999999999,10.830738999999999
198,62991V604777,Maridalsveien,KV14622,S9D1,m425,59.925009000000003,10.750323000000000
199,77883V625445,Gaustad rampe mot Ullevål,RV150,S2D1,m1558,59.945911000000002,10.712904000000000
200,20318V625294,FESTNINGTUNNEL,EV18,HP,1,59.911180000000002,10.724290999999999
201,47140V625367,RV 4 Rødtvet,RV4,S1D1,m4704,59.947856999999999,10.852639000000000
202,32135V604101,General Ruges vei v/ Bøler,KV12212,S1D1,m1126,59.883898000000002,10.845196000000000
203,77258V625502,MARIENLYST,KV161,S4D1,m3305,59.932720000000003,10.724993000000000
204,04925V444232,Lysakerlokket,EV18,S54D1,m776,59.911890999999997,10.633088000000001
205,37530V625530,Rv 163 Linderud,RV163,S1D1,m4499,59.940601000000001,10.857627000000001
206,06986V625518,PILESTREDET 2005,RV162,S1D1,m3547,59.916921000000002,10.739922999999999
207,87434V625212,E6 Sandstuveien Nordgående,EV6,S16D1,m430,59.887929000000000,10.807332000000001
208,71241V2460301,Kong Håkon 5.s gt Nordgående,RV162,S1D1,m826,59.905889000000002,10.761544000000001
209,31429V2791530,Granfoss rampe vest 2,RV150,S2D1,m7624,59.919670000000004,10.631221999999999
210,00203V444270,SVÆRSVANN,FV155,S1D1,m31,59.817480000000003,10.890784999999999
211,91442V625369,FAGERHEIMGATA 04,KV4,S2D1,m633,59.929948000000003,10.769275000000000
212,02087V625292,EV 18 V/ MASTEMYR,EV18,S56D1,m8647,59.828037000000002,10.777599000000000
213,99246V443317,LYSAKERLOKKET KOLLEKTIV,EV18,S54D1,m257,59.911743999999999,10.633036000000001
214,02298V625405,ST.RINGV V/ULVENSPLI,RV150,S1D1,m220,59.921653999999997,10.807848000000000
215,87863V625272,Avrampe E6 mot Lindeberg,EV6,S17D1,m1803,59.928564999999999,10.865520000000000
216,72073V625213,ULVENSPLITTEN 2002,EV6,S16D1,m5637,59.923183999999999,10.812925999999999
217,00492V443603,OSLO GRENSE,FV160,S1D1,m5,59.926713999999997,10.625671000000001
218,29403V625517,Vaterlandtunnelen,RV162,S1D1,m2978,59.916004000000001,10.749300000000000
219,70317V605281,SIGGERUDVEIEN,KV16345,S1D1,m703,59.813343000000003,10.882171000000000
220,29852V2460300,Kong Håkon 5.s gt Sydgående,RV162,S1D1,m1063,59.905926999999998,10.761305999999999
